"source","scenario","scenario_geography","sector","technology","indicator","units","year","value"
"GECO2021","NDC-LTS","Iran","Power","GasCap","Capacity","MW",2025,62245.38671875
"GECO2021","NDC-LTS","Iran","Power","HydroCap","Capacity","MW",2025,20202.482421875
"GECO2021","NDC-LTS","Iran","Power","NuclearCap","Capacity","MW",2025,912.644165039062
"GECO2021","NDC-LTS","Iran","Power","RenewablesCap","Capacity","MW",2025,1189.876953125
"GECO2021","1.5C-Unif","Iran","Power","CoalCap","Capacity","MW",2025,385.990539550781
"GECO2021","1.5C-Unif","Iran","Power","OilCap","Capacity","MW",2025,13022.421875
"GECO2021","1.5C-Unif","Iran","Power","GasCap","Capacity","MW",2025,61902.77734375
"GECO2021","1.5C-Unif","Iran","Power","HydroCap","Capacity","MW",2025,20702.41796875
"GECO2021","1.5C-Unif","Iran","Power","NuclearCap","Capacity","MW",2025,4161.42529296875
"GECO2021","1.5C-Unif","Iran","Power","RenewablesCap","Capacity","MW",2025,4595.83203125
"GECO2021","CurPol","Japan","Power","CoalCap","Capacity","MW",2025,84711
"GECO2021","CurPol","Japan","Power","OilCap","Capacity","MW",2025,25205.0390625
"GECO2021","CurPol","Japan","Power","GasCap","Capacity","MW",2025,56628.79296875
"GECO2021","CurPol","Japan","Power","HydroCap","Capacity","MW",2025,52704.25390625
"GECO2021","CurPol","Japan","Power","NuclearCap","Capacity","MW",2025,34479.29296875
"GECO2021","CurPol","Japan","Power","RenewablesCap","Capacity","MW",2025,101530.41796875
"GECO2021","NDC-LTS","Japan","Power","CoalCap","Capacity","MW",2025,84710.9453125
"GECO2021","NDC-LTS","Japan","Power","OilCap","Capacity","MW",2025,24996.439453125
"GECO2021","NDC-LTS","Japan","Power","GasCap","Capacity","MW",2025,56199.35546875
"GECO2021","NDC-LTS","Japan","Power","HydroCap","Capacity","MW",2025,52850.72265625
"GECO2021","NDC-LTS","Japan","Power","NuclearCap","Capacity","MW",2025,34479.29296875
"GECO2021","NDC-LTS","Japan","Power","RenewablesCap","Capacity","MW",2025,119685.80859375
"GECO2021","1.5C-Unif","Japan","Power","CoalCap","Capacity","MW",2025,84710.9453125
"GECO2021","1.5C-Unif","Japan","Power","OilCap","Capacity","MW",2025,25158.384765625
"GECO2021","1.5C-Unif","Japan","Power","GasCap","Capacity","MW",2025,56032.48046875
"GECO2021","1.5C-Unif","Japan","Power","HydroCap","Capacity","MW",2025,52918.4140625
"GECO2021","1.5C-Unif","Japan","Power","NuclearCap","Capacity","MW",2025,34479.29296875
"GECO2021","1.5C-Unif","Japan","Power","RenewablesCap","Capacity","MW",2025,125745.2890625
"GECO2021","CurPol","SouthKorea","Power","CoalCap","Capacity","MW",2025,32846.54296875
"GECO2021","CurPol","SouthKorea","Power","OilCap","Capacity","MW",2025,3919.59033203125
