"Scenario","Region","Variable_class","Sub_variable_class_1","Units","year","value"
"FPS","Asia","Price (low)","Natural gas","USD / MMBtu","2032",4.8
"FPS","USA","Price","Coal","USD / tonne","2032",31.84
"FPS","Europe","Price","Coal","USD / tonne","2032",60.6
"FPS","CHN","Price","Coal","USD / tonne","2032",75.32
"FPS","JPN","Price","Coal","USD / tonne","2032",70.12
"RPS","WORLD","Price (high)","Oil","USD / Barrel","2032",33
"RPS","USA","Price (high)","Natural gas","USD / MMBtu","2032",2.9
"RPS","Europe","Price (high)","Natural gas","USD / MMBtu","2032",3.8
"RPS","Asia","Price (high)","Natural gas","USD / MMBtu","2032",4.7
"RPS","WORLD","Price (low)","Oil","USD / Barrel","2032",23
"RPS","USA","Price (low)","Natural gas","USD / MMBtu","2032",2.4
"RPS","Europe","Price (low)","Natural gas","USD / MMBtu","2032",3.3
"RPS","Asia","Price (low)","Natural gas","USD / MMBtu","2032",4.2
"RPS","USA","Price","Coal","USD / tonne","2032",24.74
"RPS","Europe","Price","Coal","USD / tonne","2032",59.56
"RPS","CHN","Price","Coal","USD / tonne","2032",69.36
"RPS","JPN","Price","Coal","USD / tonne","2032",63
"FPS","WORLD","Price (high)","Oil","USD / Barrel","2033",45.5
"FPS","USA","Price (high)","Natural gas","USD / MMBtu","2033",2.85
"FPS","Europe","Price (high)","Natural gas","USD / MMBtu","2033",4.2
"FPS","Asia","Price (high)","Natural gas","USD / MMBtu","2033",5.2
"FPS","WORLD","Price (low)","Oil","USD / Barrel","2033",35.5
"FPS","USA","Price (low)","Natural gas","USD / MMBtu","2033",2.35
"FPS","Europe","Price (low)","Natural gas","USD / MMBtu","2033",3.7
"FPS","Asia","Price (low)","Natural gas","USD / MMBtu","2033",4.7
"FPS","USA","Price","Coal","USD / tonne","2033",30.96
"FPS","Europe","Price","Coal","USD / tonne","2033",60.45
"FPS","CHN","Price","Coal","USD / tonne","2033",74.53
"FPS","JPN","Price","Coal","USD / tonne","2033",69.08
"RPS","WORLD","Price (high)","Oil","USD / Barrel","2033",32
"RPS","USA","Price (high)","Natural gas","USD / MMBtu","2033",2.85
"RPS","Europe","Price (high)","Natural gas","USD / MMBtu","2033",3.7
"RPS","Asia","Price (high)","Natural gas","USD / MMBtu","2033",4.55
"RPS","WORLD","Price (low)","Oil","USD / Barrel","2033",22
"RPS","USA","Price (low)","Natural gas","USD / MMBtu","2033",2.35
"RPS","Europe","Price (low)","Natural gas","USD / MMBtu","2033",3.2
"RPS","Asia","Price (low)","Natural gas","USD / MMBtu","2033",4.05
"RPS","USA","Price","Coal","USD / tonne","2033",24.66
"RPS","Europe","Price","Coal","USD / tonne","2033",59.14
"RPS","CHN","Price","Coal","USD / tonne","2033",68.89
"RPS","JPN","Price","Coal","USD / tonne","2033",62.45
"FPS","WORLD","Price (high)","Oil","USD / Barrel","2034",44
"FPS","USA","Price (high)","Natural gas","USD / MMBtu","2034",2.8
"FPS","Europe","Price (high)","Natural gas","USD / MMBtu","2034",4.1
"FPS","Asia","Price (high)","Natural gas","USD / MMBtu","2034",5.1
"FPS","WORLD","Price (low)","Oil","USD / Barrel","2034",34
"FPS","USA","Price (low)","Natural gas","USD / MMBtu","2034",2.3
"FPS","Europe","Price (low)","Natural gas","USD / MMBtu","2034",3.6
"FPS","Asia","Price (low)","Natural gas","USD / MMBtu","2034",4.6
"FPS","USA","Price","Coal","USD / tonne","2034",30.08
"FPS","Europe","Price","Coal","USD / tonne","2034",60.3
"FPS","CHN","Price","Coal","USD / tonne","2034",73.74
"FPS","JPN","Price","Coal","USD / tonne","2034",68.04
"RPS","WORLD","Price (high)","Oil","USD / Barrel","2034",31
"RPS","USA","Price (high)","Natural gas","USD / MMBtu","2034",2.8
"RPS","Europe","Price (high)","Natural gas","USD / MMBtu","2034",3.6
"RPS","Asia","Price (high)","Natural gas","USD / MMBtu","2034",4.4
"RPS","WORLD","Price (low)","Oil","USD / Barrel","2034",21
"RPS","USA","Price (low)","Natural gas","USD / MMBtu","2034",2.3
"RPS","Europe","Price (low)","Natural gas","USD / MMBtu","2034",3.1
"RPS","Asia","Price (low)","Natural gas","USD / MMBtu","2034",3.9
"RPS","USA","Price","Coal","USD / tonne","2034",24.58
"RPS","Europe","Price","Coal","USD / tonne","2034",58.72
"RPS","CHN","Price","Coal","USD / tonne","2034",68.42
"RPS","JPN","Price","Coal","USD / tonne","2034",61.9
"FPS","WORLD","Price (high)","Oil","USD / Barrel","2035",42.5
"FPS","USA","Price (high)","Natural gas","USD / MMBtu","2035",2.75
"FPS","Europe","Price (high)","Natural gas","USD / MMBtu","2035",4
"FPS","Asia","Price (high)","Natural gas","USD / MMBtu","2035",5
"FPS","WORLD","Price (low)","Oil","USD / Barrel","2035",32.5
"FPS","USA","Price (low)","Natural gas","USD / MMBtu","2035",2.25
"FPS","Europe","Price (low)","Natural gas","USD / MMBtu","2035",3.5
"FPS","Asia","Price (low)","Natural gas","USD / MMBtu","2035",4.5
"FPS","USA","Price","Coal","USD / tonne","2035",29.2
"FPS","Europe","Price","Coal","USD / tonne","2035",60.15
"FPS","CHN","Price","Coal","USD / tonne","2035",72.95
"FPS","JPN","Price","Coal","USD / tonne","2035",67
"RPS","WORLD","Price (high)","Oil","USD / Barrel","2035",30
"RPS","USA","Price (high)","Natural gas","USD / MMBtu","2035",2.75
"RPS","Europe","Price (high)","Natural gas","USD / MMBtu","2035",3.5
"RPS","Asia","Price (high)","Natural gas","USD / MMBtu","2035",4.25
"RPS","WORLD","Price (low)","Oil","USD / Barrel","2035",20
"RPS","USA","Price (low)","Natural gas","USD / MMBtu","2035",2.25
"RPS","Europe","Price (low)","Natural gas","USD / MMBtu","2035",3
"RPS","Asia","Price (low)","Natural gas","USD / MMBtu","2035",3.75
"RPS","USA","Price","Coal","USD / tonne","2035",24.5
"RPS","Europe","Price","Coal","USD / tonne","2035",58.3
"RPS","CHN","Price","Coal","USD / tonne","2035",67.95
"RPS","JPN","Price","Coal","USD / tonne","2035",61.35
"FPS","WORLD","Price (high)","Oil","USD / Barrel","2036",41
"FPS","USA","Price (high)","Natural gas","USD / MMBtu","2036",2.7
"FPS","Europe","Price (high)","Natural gas","USD / MMBtu","2036",3.9
"FPS","Asia","Price (high)","Natural gas","USD / MMBtu","2036",4.9
"FPS","WORLD","Price (low)","Oil","USD / Barrel","2036",31
"FPS","USA","Price (low)","Natural gas","USD / MMBtu","2036",2.2
"FPS","Europe","Price (low)","Natural gas","USD / MMBtu","2036",3.4
"FPS","Asia","Price (low)","Natural gas","USD / MMBtu","2036",4.4
"FPS","USA","Price","Coal","USD / tonne","2036",28.32
"FPS","Europe","Price","Coal","USD / tonne","2036",60
"FPS","CHN","Price","Coal","USD / tonne","2036",72.16
"FPS","JPN","Price","Coal","USD / tonne","2036",65.96
"RPS","WORLD","Price (high)","Oil","USD / Barrel","2036",29
"RPS","USA","Price (high)","Natural gas","USD / MMBtu","2036",2.7
"RPS","Europe","Price (high)","Natural gas","USD / MMBtu","2036",3.4
"RPS","Asia","Price (high)","Natural gas","USD / MMBtu","2036",4.1
"RPS","WORLD","Price (low)","Oil","USD / Barrel","2036",19
"RPS","USA","Price (low)","Natural gas","USD / MMBtu","2036",2.2
"RPS","Europe","Price (low)","Natural gas","USD / MMBtu","2036",2.9
"RPS","Asia","Price (low)","Natural gas","USD / MMBtu","2036",3.6
"RPS","USA","Price","Coal","USD / tonne","2036",24.42
"RPS","Europe","Price","Coal","USD / tonne","2036",57.88
"RPS","CHN","Price","Coal","USD / tonne","2036",67.48
"RPS","JPN","Price","Coal","USD / tonne","2036",60.8
