scenario_geography,scenario,ald_sector,units,technology,year,direction,fair_share_perc
Algeria&Libya,GECO2021_1.5C-Unif,Power,MW,NuclearCap,2030,increasing,0.03093190026441676
Algeria&Libya,GECO2021_1.5C-Unif,Power,MW,OilCap,2030,declining,-0.07197303639002292
Algeria&Libya,GECO2021_1.5C-Unif,Power,MW,RenewablesCap,2030,increasing,0.5564145182016464
Algeria&Libya,GECO2021_1.5C-Unif,Power,MW,CoalCap,2040,declining,7.29281761415568
Algeria&Libya,GECO2021_1.5C-Unif,Power,MW,GasCap,2040,declining,-0.1363135110395357
Algeria&Libya,GECO2021_1.5C-Unif,Power,MW,HydroCap,2040,increasing,0.02170153040523602
Algeria&Libya,GECO2021_1.5C-Unif,Power,MW,NuclearCap,2040,increasing,0.143951156293603
Algeria&Libya,GECO2021_1.5C-Unif,Power,MW,OilCap,2040,declining,0.1735762761350065
Algeria&Libya,GECO2021_1.5C-Unif,Power,MW,RenewablesCap,2040,increasing,2.615703102246288
Algeria&Libya,GECO2021_1.5C-Unif,Power,MW,CoalCap,2050,declining,24.36126910309848
Algeria&Libya,GECO2021_1.5C-Unif,Power,MW,GasCap,2050,declining,-0.17764121319046935
Algeria&Libya,GECO2021_1.5C-Unif,Power,MW,HydroCap,2050,increasing,0.03045231823284649
Algeria&Libya,GECO2021_1.5C-Unif,Power,MW,NuclearCap,2050,increasing,0.19260320412749168
Algeria&Libya,GECO2021_1.5C-Unif,Power,MW,OilCap,2050,declining,0.04516837741249188
Algeria&Libya,GECO2021_1.5C-Unif,Power,MW,RenewablesCap,2050,increasing,4.878996746584907
Algeria&Libya,GECO2021_CurPol,Power,MW,CoalCap,2025,declining,0
Algeria&Libya,GECO2021_CurPol,Power,MW,GasCap,2025,declining,0
Algeria&Libya,GECO2021_CurPol,Power,MW,HydroCap,2025,increasing,0
Algeria&Libya,GECO2021_CurPol,Power,MW,NuclearCap,2025,increasing,0
Algeria&Libya,GECO2021_CurPol,Power,MW,OilCap,2025,declining,0
Algeria&Libya,GECO2021_CurPol,Power,MW,RenewablesCap,2025,increasing,0
Algeria&Libya,GECO2021_CurPol,Power,MW,CoalCap,2030,declining,10.463641381774393
Algeria&Libya,GECO2021_CurPol,Power,MW,GasCap,2030,declining,0.02859305238496594
Algeria&Libya,GECO2021_CurPol,Power,MW,HydroCap,2030,increasing,0.01178066951173176
Algeria&Libya,GECO2021_CurPol,Power,MW,NuclearCap,2030,increasing,3.023994276381065e-4
Algeria&Libya,GECO2021_CurPol,Power,MW,OilCap,2030,declining,-0.02212790500610218
Algeria&Libya,GECO2021_CurPol,Power,MW,RenewablesCap,2030,increasing,0.02615714139741026
